KK_Tross,KK_Lose,SK_Tross,SK_Lose,KS_Tross,KS_Lose,SS_Tross,SS_Lose,KK_Tross_1,KK_Lose_2,HK_Tross,HK_Lose,KS_Tross_3,KS_Lose_4,HS_Tross,HS_Lose,KH_Tross,KH_Lose,SH_Tross,SH_Lose,KH_Tross_5,KH_Lose_6,HH_Tross,HH_Lose,Column1,_7,_8
2.8,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
5,0.3,0.6,0.1,2.2,0,2.4,0.2,2.4,0,1.4,0,1.6,0,1.5,0,1.8,0.2,1.1,0.2,1.6,0,0,0,,,
20.8,0.6,9.7,0.4,22.1,0.6,12.2,0.4,15.5,0.5,15.9,0.5,11.1,0,12.1,0.1,10.3,1.7,5.3,0.7,4.9,0.5,4.3,0,,,
10.7,0.7,12.4,1.3,14.1,1,16.1,1.2,13.6,0.8,8.9,0.2,14.3,0.6,15.3,0.2,9.6,0,9.6,0,4.2,0,9.2,0,,,
,,,,,,,,,,,,,,,,10.6,1.3,8.8,0.4,13.3,0.5,12.4,3.8,,,
16.7,0.3,14.3,1.6,13.8,0.2,10.2,0.8,13.4,0.2,18.4,0.2,18.3,0.2,14.5,0.3,,,,,,,,,,,
7.9,0.1,9.3,0,10.5,0,5.6,0.1,8.9,0.2,9.6,0.3,5.8,0.2,8,0,11.1,0.2,11.4,0.3,13.2,0.5,9.6,0.2,,,
16.5,0.1,25.9,0.2,19.2,0.1,28.3,0.4,24,0.3,22.5,0.2,31.6,0.4,25.5,0.6,18.9,0.7,18.5,1.3,22.6,0.6,21.9,0.4,,,
9.6,0.1,8.9,0.1,8.9,0.1,10,0.1,17.5,0.8,17.4,0.2,17.8,0.7,16.2,0.2,14,0.3,15.7,0.2,12.8,0.3,16.7,0.5,,,
17.9,0.1,18.2,0.4,20,0.3,20.8,0.3,12.1,0.2,13.7,0.2,17.6,0.7,16.6,0.4,22.7,0.9,22.9,0.1,18.1,0.1,22.4,1.4,,,
11,0,10.1,0,13.7,0.2,15.4,0.3,13.8,0.1,11.9,0.1,9.8,0.1,14.4,0.2,10.4,0,10.2,0.2,8.2,0.1,8,0,,,
27.3,0.2,24.3,0.3,21.6,0.2,20.4,0,26.1,0.2,30.1,0.2,25.1,0.1,27.3,0.3,25.3,0.3,32.3,0.6,39.2,0.5,46.4,0.8,,,
14.5,0,10.2,0.5,6.9,0,6,0,9.4,0.1,7.2,0.2,3.5,0.1,3.3,0,11.1,0.3,14.2,0.2,11.4,0.3,11.2,0,,,
13.8,0.3,16.3,0.4,17.5,0.2,13.4,0,14.2,0.2,12.8,0.1,16.4,0.2,10.3,0,13.7,0,14.2,0.3,17.3,0,23.6,0,,,
26.3,0.5,24.1,0.2,17.4,0,10.5,0,26.6,0.1,24.6,0.2,14.6,0.1,14.3,0,26,0.5,14.9,0.8,14.3,0.2,22.1,0.6,,,
9.9,0.8,10.8,0.6,7.8,0.1,9,0.1,14.8,0.4,12.7,0,9.8,0,11.2,0.2,10.6,0,11.7,0.2,10.1,0.3,10.1,0,,,
17.2,0.3,19.3,0.4,8.1,0.2,5.9,0,14.4,0.5,16.9,0.1,7.9,0,9.1,0.2,8.4,0.2,10.1,0.1,10.9,0.1,10.8,0.9,,,
10.6,0.2,7.7,0.1,6.1,0.1,7.6,0.1,11,0.1,8.4,0,5.2,0.3,2.9,0.1,10,1.6,8,0.8,10.3,0.8,6.9,1.8,,,
10.9,0.2,13.6,0.1,6,0.2,5.4,0.4,13.2,0.1,10.9,0.3,3.6,0.1,9.6,0.3,2.4,0.7,0.9,1.4,1.7,0.4,0.8,0.8,,,
4.5,0.3,5.2,0,4.8,0.2,4.8,0.4,5.4,0.6,7.3,0.1,3.5,0.8,3.3,0.2,0.2,,0.2,,0.2,,0.2,,,,
16.6,0.3,20.1,0.5,10.3,0.7,8.8,1.1,17.7,0.3,18.8,0.2,10.1,0.1,13.9,2.1,,,,,,,,,,,
5.4,0,4.9,0.1,3.8,0,4,0,5.4,0.3,6,0.3,2.8,0,0.6,0,1.1,2.8,1,2.1,0.8,2.5,0.8,3.1,,,
29.7,1.6,28.2,0.8,9.5,2.3,9.5,1.5,28.4,0.9,28.2,0.9,4.7,1,5.7,1.7,,,,,,,,,,,
4.7,0.2,7.36,0.5,0,0,0.5,0.1,6.7,0.5,8.1,0.1,1,0.1,1.7,0.6,,,,,,,,,,,
16,0.1,14,0.1,0,0,0.4,0,14.6,0,11.6,0.4,1.2,0.2,1.8,0.3,,,,,,,,,,,
11.3,1.4,10.1,1.6,0,2.2,0,4.9,10.2,0.2,10.6,0.4,1.1,3.3,0.8,4,7.3,0,6.3,0,6.3,0,7.3,0,,,
10.2,0.4,15.1,1.4,1.5,3.6,0.7,2.2,13.5,0,14,0.2,2.1,3.3,1.1,4.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,7,0,6.6,0,6.5,0,6.8,,,
10.1,0.2,8.6,0.1,0.6,0.2,0.9,0.6,12.5,0.2,11.6,0.8,0,0,4.1,0.7,,,,,,,,,,,
13.7,0.2,11.3,0.2,2.3,0.4,3,0.7,12.5,1,9.1,1.3,2.7,0.5,2.1,0.6,,,,,,,,,,,
15.7,0.3,12.4,0.2,1.3,0.4,0,1.2,16.5,0.3,12.3,0,0,1.4,0,0.1,0,13.1,0,13.7,0,11,0,12.2,,,
17.2,2.1,21,3.9,1.8,0.1,2.4,0.7,19.7,3.9,19.3,3.8,0,2.1,0,4,,,,,,,,,,,
5.8,2.1,0,2.4,7.8,3.1,0.7,0.7,5.3,2.9,3.9,4.7,0,1.1,0,0.8,,,,,,,,,,,
14.6,9.1,10.4,8.7,0,8.4,0,5.8,12.6,7.5,10.2,9.1,0,3.2,0,5.1,0,1.5,0,1.8,0,1.7,0,1.9,,,
,,,,,,,,,,,,,,,,0,12.4,0,14.2,0,13,0,13.5,,,
5.5,1.1,9.1,0.3,5.6,2.3,7.9,1.8,7.5,1.3,4.9,0.5,5.5,1.3,8.6,2,,,,,,,,,,,
14.1,0.6,13.2,0.2,0,2,0,0.5,13.8,1.1,19.7,0.4,0,4.4,0,8.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,9.9,0,11.3,0,9.7,0,8.3,,,
11.8,1.2,13.3,0.3,0,1.9,0,4.3,13,0.5,8.2,0.3,0.6,3.3,1.3,3.7,,,,,,,,,,,
14.8,2.7,20.6,3.6,0,4,0,5.4,15.3,1.7,9.1,3.2,2.7,1.7,1.8,1.5,20.4,29.5,25.3,17.3,23.1,11.6,21.5,9.3,,,
3.4,0,3.7,0,1.1,0,0.3,0,3,0,1.9,0,0.6,0,0.3,0.4,,,,,,,,,,,
9.7,3.7,7.3,10.9,7.1,10.4,5.2,9.5,9,6.8,5.2,7.2,5.5,8.1,3.6,10.5,6.5,0.8,6.8,7.7,16,5.5,15.4,5.2,,,
9.3,1.5,8.2,2.6,2.3,4.5,3.6,2,5.8,3.7,7.5,4,3.8,2,2.8,1.5,7.3,1.9,7.3,2,4.6,8.5,16,4.9,,,
3.5,2.1,0.7,2.6,0,2.1,0,4,0.8,4,0.6,2.5,0.7,2.9,0.7,2.3,2.2,3.6,1.6,2.2,2,3.1,4,2.7,,,
0.8,2.5,1.2,0.7,1.4,2,0.6,1.9,1.8,1,0.7,1.1,0.9,2.2,0.5,3.3,2.4,0.6,1.2,1.2,0,1,0.5,0.1,,,
4.1,0.8,2.2,1.2,1.8,1.4,4.6,2.1,3.5,2.5,1.5,0.1,1,1,0.8,0,0,1.4,5.1,1.9,3.6,0.5,1.1,0.1,,,
10.8,1.6,8.5,3,6,3.1,5.2,1.4,9.4,2.5,8.2,2.1,8.1,2.9,6.6,1.3,10.5,3.5,8,3.2,8.7,3.9,10.3,5.4,,,
4.8,2.4,7.1,4.4,3.3,8,5.9,6.6,4.9,5.6,10.1,7.5,7.8,5.1,6.6,9.5,5,1.5,5,0.3,7,2.4,3.3,0.5,,,
10.1,1.2,11.4,1.2,6.5,1.8,6.9,2,8.3,1.3,6.3,0.7,8.1,1.2,6.8,1.1,12.4,4.1,11.2,3.1,11,3.5,13.5,4,,,
2.7,0.4,2.4,0,2.4,0.4,3,0.3,1.8,0.3,0.8,0.3,2.4,0.1,2.6,0.6,3.9,0.4,4,0.5,3.7,0.1,3.3,0.6,,,
11.9,1.2,9.7,1.5,7.5,0.7,9,0.8,10.6,2.2,11.3,0.9,7.6,0.8,9.3,0.7,7.5,0.7,10.2,0.8,8.8,2.1,11.3,1,,,
4.5,1.2,2.6,0.8,4,1.4,3.3,0.1,4.1,0.6,1.9,0,5.3,0.4,3.3,0.2,2.6,0.2,2.3,0.6,3.8,0.3,4.9,0.7,,,
4.7,0.9,4.5,0.4,5.5,0.5,2.3,0.6,4.8,0.9,4.8,0.4,4.3,0.3,5.3,0.2,4.7,0.7,4.8,0.8,2,0.1,3.9,0.4,,,
,,,,,,,,,,,,,,,,5.3,3.6,7.2,6.5,10.6,5.1,10.2,7.1,,,
23.8,5.5,21.8,7.1,17.2,6.4,22.4,7.5,23.2,6.2,21.2,4.3,26.2,2.7,25.8,4.5,,,,,,,,,,,
10.8,0.1,13.3,0.2,13.9,0.6,10.5,0.3,10.1,0.8,12.2,1.6,11.6,0.5,14.5,0.2,19.4,0.3,16.8,0.6,11.4,2.1,16.1,0.6,,,
9.5,1.3,4.9,0.3,4.6,0.2,5.9,0.8,6.2,0.6,4.8,0.8,4.9,0.4,9.2,0.1,6.4,0.3,7.9,0.9,9.3,1.3,6.8,0.8,,,
17.7,4.1,18.6,5.4,17.1,5.3,16.6,4.5,17.6,3.9,21.4,6.8,16.8,4.3,13.6,2.9,1.8,4.6,4.1,4.1,4.3,2.4,5.4,3.3,,,
,,,,,,,,,,,,,,,,0,2.5,16.1,2.9,16.2,1.9,15.9,1.8,,,
9.7,1.7,4.9,0.5,6.8,0.9,1.5,0.3,4.6,1,4.9,0.6,2.4,0.9,7.5,0.7,2,0.4,3,0,3.1,0.4,2.1,0.4,,,
,,,,,,,,,,,,,,,,13.3,1.7,10.1,1.4,10.2,1.2,15.4,0.8,,,
8.7,0.4,8.9,0.5,5.4,0,7.9,0,11.9,0.5,15.1,0.1,14.8,0.1,12.1,0.5,4.5,0,6.9,0,6.9,0,10.4,0,,,
