variable,label,lower,upper,distribution,description
Yield_type_1,mean yield keine Behandlung - keine Behandlung,34.66657,56.23922,posnorm,"berechneter CV, SD and 90% confidence interval"
Yield_type_2,mean yield keine Behandlung - Hitze,15.01632,39.42571,posnorm,
Yield_type_3,mean yield keine Behandlung - Salz,16.47447,39.09074,posnorm,
Yield_type_4,mean yield Hitze - keine Behandlung,31.49508,54.96869,posnorm,
Yield_type_5,mean yield Hitze - Hitze,16.72533,46.46307,posnorm,
Yield_type_6,mean yield Hitze - Salz,16.83341,39.80427,posnorm,
Yield_type_7,mean yield Salz - keine Behandlung,32.16160,55.15145,posnorm,
Yield_type_8,mean yield Salz - Hitze,15.81552,39.57579,posnorm,
Yield_type_9,mean yield Salz -Salz,15.19050,36.62110,posnorm,
Tomaten_Preis,mean tomato preis,1.33,2.75,posnorm,"25, 27 quatile  von 10 Jahren Tomaten preis BMEL Statistik: https://open-data.ble.de/dataset/markt-und-preisbericht-obst-und-gemuese"
Saatgut,mean saatgut preis,2.31,2.49,posnorm,Preis für Farm 2 & 3 wurde von farm 1 berechnet. 1.6-1.7pf./qm
Jungepflanzen,mean Jungepflanuen preis,3.42,3.70,posnorm,Preis für Farm 2 & 3 wurde von farm 1 berechnet. 1.6-1.7pf./qm
Jungepflanzen_Priming,estimate Jungepflanzen preis,1.00,5.00,posnorm,
Substrat,mean substrat preis,2.44,4.56,posnorm,
Energie_therm,mean thermische energie preis,37.47,40.60,posnorm,Gaspreis12ct/kWh
Energie_elek,mean elektrische Energie preis,7.42,9.98,posnorm,Strompreis 10.51ct/kWh
CO2_H2O_Due,"mean CO2, Wasser und Dünger Preis",8.03,11.51,posnorm,
Kordel,mean Kordel Preis,0.93,1.03,posnorm,
Hummel_Nutzlinge,mean Hummel und Nutzling Preis,1.83,2.51,posnorm,
PSM_chem,mean chemische Pflanzenschutzmittel Preis,0.71,0.78,posnorm,
Heackseln_Entsorgung,mean Häckseln und Entsorgungspreis,0.25,0.31,posnorm,
Desinfektion,mean Desinfektion Pries,0.05,0.07,posnorm,
Versicherung,Mean Versichrungspreis,0.86,1.06,posnorm,
Arbeit,Mean Arbeitspreis,20.13,25.40,posnorm,"Farm2&3 lower: 18€ leiharbeiter, upper: 50000€ Brutto Gärtner"
discount_rate,diacount rate,2.00,5.00,posnorm,https://www.bundesbank.de/de/statistiken/geld-und-kapitalmaerkte/zinssaetze-und-rendi[…]zinssaetze-gemaess-253-abs-2-hgb-7-jahresdurchschnitt-650652
n_years,simulation year,5.00,5.00,const,
var_CV_Yield_type_1,cofficient variation: keine Behandlung - keine Behandlung,55.97153,55.97153,const,That is calculated with the raw data from LWK 
var_CV_Yield_type_2,cofficient variation: Behandlung - Hitze,89.88077,89.88077,const,
var_CV_Yield_type_3,cofficient variation: Behandlung - Salz,91.53877,91.53877,const,
var_CV_Yield_type_4,cofficient variation: Hitze - keine Behandlung,65.77538,65.77538,const,
var_CV_Yield_type_5,cofficient variation: Hitze - Hitze,95.36378,95.36378,const,
var_CV_Yield_type_6,cofficient variation: Hitze -Salz,98.26289,98.26289,const,
var_CV_Yield_type_7,cofficient variation: Salz - keine Behandlung,63.79325,63.79325,const,
var_CV_Yield_type_8,cofficient variation: Salz -Hitze,86.92059,86.92059,const,
var_CV_Yield_type_9,cofficient variation: Salz - Salz,100.21323,100.21323,const,
var_CV_Tomaten_Preis,cofficient variation: Tomaten Preis,34.00,35.00,posnorm,Calculated from the data BMEL Tomaten Preis
