Variable,param,Farm_1,Farm_2,Farm_3
Yield_type_1,lower,32.6011087587974,32.6011087587974,36.6304593
Yield_type_1,upper,58.3046883426518,58.3046883426518,65.5108858
Yield_type_1,distribution,posnorm,posnorm,posnorm
Yield_type_2,lower,12.6792544830575,12.6792544830575,14.2463534
Yield_type_2,upper,41.7627745024498,41.7627745024498,46.9244657
Yield_type_2,distribution,posnorm,posnorm,posnorm
Yield_type_3,lower,14.309085832468,14.309085832468,16.0776245
Yield_type_3,upper,41.2561315588363,41.2561315588363,46.355204
Yield_type_3,distribution,posnorm,posnorm,posnorm
Yield_type_4,lower,29.2476072414118,29.2476072414118,32.86248
Yield_type_4,upper,57.2161608745302,57.2161608745302,64.2878212
Yield_type_4,distribution,posnorm,posnorm,posnorm
Yield_type_5,lower,13.8781006491804,13.8781006491804,15.5933715
Yield_type_5,upper,49.3103051479211,49.3103051479211,55.4048372
Yield_type_5,distribution,posnorm,posnorm,posnorm
Yield_type_6,lower,14.6340715375952,14.6340715375952,16.442777
Yield_type_6,upper,42.0036096218251,42.0036096218251,47.195067
Yield_type_6,distribution,posnorm,posnorm,posnorm
Yield_type_7,lower,29.9604403336799,29.9604403336799,33.6634161
Yield_type_7,upper,57.3526031445809,57.3526031445809,64.4411271
Yield_type_7,distribution,posnorm,posnorm,posnorm
Yield_type_8,lower,13.5405962778634,13.5405962778634,15.2141531
Yield_type_8,upper,41.8507080699627,41.8507080699627,47.0232675
Yield_type_8,distribution,posnorm,posnorm,posnorm
Yield_type_9,lower,13.1386317616092,13.1386317616092,14.7625076
Yield_type_9,upper,38.6729624412894,38.6729624412894,43.4527668
Yield_type_9,distribution,posnorm,posnorm,posnorm
Tomaten_Preis,lower,1.33,1.33,1.33
Tomaten_Preis,upper,2.75,2.75,2.75
Tomaten_Preis,distribution,posnorm,posnorm,posnorm
Saatgut,lower,2.584,2.176,2.176
Saatgut,upper,2.856,2.312,2.312
Saatgut,distribution,posnorm,posnorm,posnorm
Jungepflanzen,lower,4.37,2.944,2.944
Jungepflanzen,upper,4.84,3.128,3.128
Jungepflanzen,distribution,posnorm,posnorm,posnorm
Substrat,lower,3.325,2,2
Substrat,upper,3.675,5,5
Substrat,distribution,posnorm,posnorm,posnorm
Energie_therm,lower,9.5,36.4,66.5
Energie_therm,upper,10.5,37.8,73.5
Energie_therm,distribution,posnorm,posnorm,posnorm
Energie_elek,lower,2.375,18.9,0.975
Energie_elek,upper,2.625,26.25,1.05
Energie_elek,distribution,posnorm,posnorm,posnorm
CO2_H2O_Due,lower,4.085,10,10
CO2_H2O_Due,upper,4.515,15,15
CO2_H2O_Due,distribution,posnorm,posnorm,posnorm
Kordel,lower,0.9025,0.95,0.95
Kordel,upper,0.9975,1.05,1.05
Kordel,distribution,posnorm,posnorm,posnorm
Hummel_Nutzlinge,lower,0.475,2.5,2.5
Hummel_Nutzlinge,upper,0.525,3.5,3.5
Hummel_Nutzlinge,distribution,posnorm,posnorm,posnorm
PSM_chem,lower,0.2185,0.95,0.95
PSM_chem,upper,0.2415,1.05,1.05
PSM_chem,distribution,posnorm,posnorm,posnorm
Heackseln_Entsorgung,lower,0.38,0.19,0.19
Heackseln_Entsorgung,upper,0.42,0.25,0.25
Heackseln_Entsorgung,distribution,posnorm,posnorm,posnorm
Desinfektion,lower,0.0475,0.03,0.06
Desinfektion,upper,0.0525,0.05,0.12
Desinfektion,distribution,posnorm,posnorm,posnorm
Versicherung,lower,0.6175,0.95,1
Versicherung,upper,0.6825,1,1.5
Versicherung,distribution,posnorm,posnorm,posnorm
Arbeit,lower,28,16.2,16.2
Arbeit,upper,33,21.6,21.6
Arbeit,distribution,posnorm,posnorm,posnorm
