Description: ();label;variable;distribution;lower;median;upper;Column1
Coefficient of variation, ratio of the standard deviation to the mean (a measure of relative variability).;coeff. Variation;var_CV;posnorm;5;;20;
Years from the start o the implementation of the intervention to the end.;Project time horizon (years);n_years;const;10;;10;
Setzling;Setzling(_/ha);Setzling;norm;41400;;82800;
Discount rate (%);Discount rate (%);discount_rate;const;3;;3;%
Direktkosten;Heizmaterial (70 %Holzhackschnitzel, 30 %Erdgas) (_/ha);Heizmaterial;norm;10000;;16000;
;Strom(_/ha);Strom;norm;2450;;3920;
;Samen(_/ha);Samen;norm;9000;;18000;
;Bew_sserung(_/ha);Bewaesserung;norm;124;;200;
;C02(_/ha);CO2;const;3125;;3920;
;Cell(_/ha);Cell;norm;2500;;5000;
;Vermarktungsgeb_hren (3 %) (_/ha);Vermarktungsgebuehr;norm;20650;;20700;
;Sonstige Betriebsmittel(_/ha);sonstige_Betriebsmittel;norm;7950;;8050;
;Zinskosten (3 %, 1_2 Kulturdauer)(_/ha);Zinskosten;posnorm;4500;;4600;
Arbeitserledigungskosten;Lohnkosten(_/ha);Arbeit;norm;86000;;86050;
Implementationskosten vom Priming;Salzpriming;Salzpriming;norm;1000;;2000;
;Heatpriming;Heatpriming;norm;5000;;10000;
