Description: ();label;variable;distribution;lower;median;upper;
Coefficient of variation, ratio of the standard deviation to the mean (a measure of relative variability).;coeff. Variation;var_CV;posnorm;5;;20;
Years from the start o the implementation of the intervention to the end.;Project time horizon (years);n_years;const;10;;10;
Setzling;Setzling(€/ha);Setzling;norm;41400;;82800;
Discount rate (%);Discount rate (%);discount_rate;const;3;;3;%
Direktkosten;Heizmaterial (70 %Holzhackschnitzel, 30 %Erdgas) (€/ha);Heizmaterial;norm;10000;;16000;
;Strom(€/ha);Strom;norm;2450;;3920;
;Samen(€/ha);Samen;norm;9000;;18000;
;Bewässerung(€/ha);Bewaesserung;norm;124;;200;
;C02(€/ha);CO2;const;3125;;3920;
;Cell(€/ha);Cell;norm;2500;;5000;
;Vermarktungsgebühren (3 %) (€/ha);Vermarktungsgebuehr;norm;20650;;20700;
;Sonstige Betriebsmittel(€/ha);sonstige_Betriebsmittel;norm;7950;;8050;
;Zinskosten (3 %, 1⁄2 Kulturdauer)(€/ha);Zinskosten;posnorm;4500;;4600;
Arbeitserledigungskosten;Lohnkosten(€/ha);Arbeit;norm;86000;;86050;
Implementationskosten vom Priming;Salzpriming;Salzpriming;norm;1000;;2000;
;Heatpriming;Heatpriming;norm;5000;;10000;
