Description: (),label,variable,distribution,lower,median,upper,
"Coefficient of variation, ratio of the standard deviation to the mean (a measure of relative variability).",coeff. Variation,var_CV,posnorm,5,,20,
Years from the start o the implementation of the intervention to the end.,Project time horizon (years),n_years,const,10,,10,
Discount rate (%),Discount rate (%),discount_rate,const,3,,3,%
"Leistung (Tomaten, Zwischentyp, Rispe, Absatzweg regionaler Lebensmitteleinzelhandel, Lebensmitteleinzelhandel)",Ertragsmenge (kg/m2),Ertrag,posnorm,47.7,,58.3,
,Preis (€/kg),Tomatenpreis,posnorm,1.2,,1.5,
Direktkosten,"Heizmaterial (70 %Holzhackschnitzel, 30 %Erdgas) (€/ha)",Heizmaterial,posnorm,95900,,96000,
,Strom(€/ha),Strom,posnorm,23000,,24000,
,Saat- und Pflanzgut(St/ha),Jungpflanzen_Menge,posnorm,28000,,29000,
,Saat- und Pflanzgut(€/1000 St),Jungpflanzen_Preis,posnorm,12000,,13000,
,Matten und Folien(€/ha),Matten_Folien,posnorm,2200,,2400,
,Düngung und Bewässerung(€/ha),Du_Bewaesserung,posnorm,11800,,11850,
,C02(€/ha),CO2,posnorm,25000,,35000,
,Pflanzenschutz(€/ha),Pflanzenschutz,posnorm,5500,,6500,
,Verpackung(€/ha),Verpackung,posnorm,63500,,64000,
,Transport(€/ha),Transport,posnorm,29950,,30050,
,Entsorgungsmenge(t/ha),Entsorgung_Menge,posnorm,34,,36,
,Entsorgungspreis(€/t),Entsorgung_Preis,posnorm,37,,38,
,Vermarktungsgebühren (3 %) (€/ha),Vermarktungsgebuehr,posnorm,20650,,20700,
,Sonstige Betriebsmittel(€/ha),sonstige_Betriebsmittel,posnorm,7950,,8050,
,"Zinskosten (3 %, 1⁄2 Kulturdauer)(€/ha)",Zinskosten,posnorm,4500,,4600,
Arbeitserledigungskosten,Variable Lohnkosten(€/ha),variable_Kosten,posnorm,86000,,86050,
,Dienstleistungen(€/ha),Dienstleistungen,posnorm,6700,,6900,
,Fixe Lohnkosten(€/ha),fix_Lohnkosten,posnorm,87250,,87300,
A higher percentage of yield,A higher percentage of yield 1-5 (%),Yield_5,tnorm_0_1,0.01,,0.05,
,A higher percentage of yield 6-10 (%),Yield_10,tnorm_0_1,0.05,,0.10,
,A higher percentage of yield 11-20(%),Yield_20,tnorm_0_1,0.10,,0.20,
A higher percentage of seedling cost,A higher percentage of seedling cost,Seedling_cost_20,tnorm_0_1,0.05,,0.20,
A lower percentage of biowaste,A lower percentage of biowaste,Re_Biowaste,tnorm_0_1,0.9,,0.99,
,Pflanzenschutz Einsparungs Faktor,Re_PSM,tnorm_0_1,0.9,,0.99,
