"","VIP","Coefficient"
"yield",3.86714461108907,2595.85079891719
"risk_1",0.0918368636535141,61.6462066614796
"risk_2",0.0182546557185791,-12.2535791641076
"risk_3",0.02759681901602,18.5245786994591
"risk_1_damage",0.00860918107983092,5.77897953958545
"risk_2_damage",0.0925689401091973,-62.1376186575307
"risk_3_damage",0.0819420868540278,-55.0042610289318
"priming_yield_reduction",0.0240556572834202,16.1475464347993
"priming_risk_1_reduction",0.0311613379783236,20.9172896856266
"priming_risk_2_reduction",0.0514155516427131,34.5130876217525
"priming_risk_3_reduction",0.000727319309911076,0.48821872507345
"ppm_risk_1_reduction",0.0534570157907648,35.8834362568888
"ppm_risk_2_reduction",9.21574113848146e-05,0.0618613768110524
"ppm_risk_3_reduction",0.0563354959896773,37.8156384048478
"var_CV",0.100403971731166,67.3969443721955
